Question,Answer
(Henri_Becquerel) What is the SI unit for radioactivity called?,becquerel (related to: Henri_Becquerel)
(Henri_Becquerel) What is the SI unit for radioactivity called?,the becquerel (Bq) (related to: Henri_Becquerel)
"(Henri_Becquerel) When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad Röntgen (related to: Henri_Becquerel)
"(Henri_Becquerel) When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad RÃ¶ntgen (related to: Henri_Becquerel)
(Henri_Becquerel) Where are there craters named Becquerel?,Moon and Mars (related to: Henri_Becquerel)
(Henri_Becquerel) Where are there craters named Becquerel?,on the moon and on mars (related to: Henri_Becquerel)
(Henri_Becquerel) Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity (related to: Henri_Becquerel)
(Henri_Becquerel) Why did Bequerel win the Nobel Prize in Physics?,was the discoverer of radioactivity (related to: Henri_Becquerel)
(Isaac_Newton) Was Isaac Newton British?,Yes. (related to: Isaac_Newton)
(Isaac_Newton) Was Isaac Newton British?,"Yes, he was English. (related to: Isaac_Newton)"
(Isaac_Newton) Was Isaac Newton religious?,It is not clear. (related to: Isaac_Newton)
(Isaac_Newton) Was Isaac Newton religious?,"Yes, he was highly religious, though an unorthodox Christian. (related to: Isaac_Newton)"
(Isaac_Newton) Did Isaac Newton die in 1898?,No. (related to: Isaac_Newton)
(Isaac_Newton) Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727. (related to: Isaac_Newton)"
(Isaac_Newton) Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth. (related to: Isaac_Newton)
(Isaac_Newton) Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire. (related to: Isaac_Newton)"
(Isaac_Newton) Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz. (related to: Isaac_Newton)
(Isaac_Newton) Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus. (related to: Isaac_Newton)
(Isaac_Newton) When did Isaac Newton discover the generalized binomial theorem?,In 1665. (related to: Isaac_Newton)
(Isaac_Newton) When did Isaac Newton discover the generalized binomial theorem?,In 1665. (related to: Isaac_Newton)
(Isaac_Newton) Did the Occult influence Newton's theory of gravitation?,Yes. (related to: Isaac_Newton)
(Isaac_Newton) Did the Occult influence Newton's theory of gravitation?,"If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity. (related to: Isaac_Newton)"
(Isaac_Newton) Were Newton's religious views consistent with Anglicanism?,No. (related to: Isaac_Newton)
(Isaac_Newton) Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted. (related to: Isaac_Newton)"
(Isaac_Newton) Which fruit inspired Isaac Newton's theory of gravitation?,The apple. (related to: Isaac_Newton)
(Isaac_Newton) Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree. (related to: Isaac_Newton)
(Isaac_Newton) Was Sir Isaac Newton an English physicist and mathematician?,yes (related to: Isaac_Newton)
(Isaac_Newton) Was Sir Isaac Newton an English physicist and mathematician?,yes (related to: Isaac_Newton)
(Isaac_Newton) Did he build the first practical reflecting telescope?,yes (related to: Isaac_Newton)
"(Isaac_Newton) Was Isaac Newton educated at The King's Schol, Grantham?",yes (related to: Isaac_Newton)
"(Isaac_Newton) Was Isaac Newton educated at The King's Schol, Grantham?",yes (related to: Isaac_Newton)
(Isaac_Newton) Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth (related to: Isaac_Newton)
(Isaac_Newton) Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth (related to: Isaac_Newton)
(Isaac_Newton) When was the Principia published?,1687 (related to: Isaac_Newton)
(Isaac_Newton) When was the Principia published?,1687 (related to: Isaac_Newton)
(Isaac_Newton) Where is there a Newton statue on display?,Oxford University Museum of Natural History  (related to: Isaac_Newton)
(Isaac_Newton) Where is there a Newton statue on display?,Oxford University Museum of Natural History (related to: Isaac_Newton)
(Isaac_Newton) Where was Isaac Newton buried?,Westminster Abbey (related to: Isaac_Newton)
(Isaac_Newton) Where was Isaac Newton buried?,Westminster Abbey (related to: Isaac_Newton)
(Isaac_Newton) What religion did Isaac Newton follow?,he never made a public declaration of his private faith (related to: Isaac_Newton)
(Isaac_Newton) What religion did Isaac Newton follow?,unorthodox Christian (related to: Isaac_Newton)
(Isaac_Newton) What food gave Isaac Newton clues to his theory of gravity?,apple (related to: Isaac_Newton)
(Isaac_Newton) What food gave Isaac Newton clues to his theory of gravity?,apple (related to: Isaac_Newton)
(Jackson_Pollock) Who was a farmer and later a land surveyor for the government?, LeRoy Pollock was a farmer and later a land surveyor for the government. (related to: Jackson_Pollock)
"(Jackson_Pollock) Regarding this topic, what did David Alfaro Siqueiros do?",Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros. (related to: Jackson_Pollock)
"(Jackson_Pollock) Who used hardened brushes, sticks,?","Jackson Pollock used hardened brushes, sticks. (related to: Jackson_Pollock)"
(Jackson_Pollock) When were his papers donated by Lee Krasner?,In 1983. (related to: Jackson_Pollock)
(Jackson_Pollock) Did Free Jazz feature a Pollock painting as its cover artwork?,Yes. (related to: Jackson_Pollock)
(Jackson_Pollock) Was Paul Jackson Pollock an influential American painter as well as a major figure in the abstract expressionist movement?,"Yes, Pollock was an influential American painter and a major figure in the abstract expressionist movement. (related to: Jackson_Pollock)"
(Jackson_Pollock) Give an example of the origins of the term action painting. ,Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting. (related to: Jackson_Pollock)
"(Jackson_Pollock) During his lifetime, did Pollock enjoy considerable fame and notoriety?",Yes. (related to: Jackson_Pollock)
(Jackson_Pollock) Was he regarded as a mostly reclusive artist?,"Yes, he was regarded as a mostly reclusive artist.  (related to: Jackson_Pollock)"
(Jakarta) Is the Wisma building the tallest building in Indonesia?,yes (related to: Jakarta)
(Jakarta) Is the Wisma building the tallest building in Indonesia?,"Yes, (related to: Jakarta)"
(Jakarta) is there a chinese community in jakarta?,yes (related to: Jakarta)
(Jakarta) is there a chinese community in jakarta?,Yes. (related to: Jakarta)
(Jakarta) Is Jakarta the 12th largest city in the world?,yes (related to: Jakarta)
(Jakarta) Is Jakarta the 12th largest city in the world?,Yes. (related to: Jakarta)
(Jakarta) What is the capital of Indonesia?,Jakarta (related to: Jakarta)
(Jakarta) What is the capital of Indonesia?,The capital of Indonesia is Jakarta. (related to: Jakarta)
(Jakarta) What is the official name of Jakarta?,Daerah Khusus Ibukota Jakarta (related to: Jakarta)
(Jakarta) What is the official name of Jakarta?,Daerah Khusus. (related to: Jakarta)
(Jakarta) How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate  (related to: Jakarta)
(Jakarta) How is the climate in the city?,The city is hot and humid. (related to: Jakarta)
(Jakarta) Where does the name of the city Jakarta come from?,"The name Jakarta is derived from the Sanskrit word ""Jayakarta."" (related to: Jakarta)"
(Jakarta) How is the city's governor chosen?,election (related to: Jakarta)
(Jakarta) How is the city's governor chosen?,Through election. (related to: Jakarta)
(Jakarta) Why does Jakarta suffer frequent flooding?,Because it is located approximately eight meters above the sea level (related to: Jakarta)
(Jakarta) Why does Jakarta suffer frequent flooding?,"The fact that the northern part of Jakarta lies on a plain, approximately eight meters above the sea level. (related to: Jakarta)"
(Jakarta) Is the the biggest university in Jakarta the University of Indonesia,yes (related to: Jakarta)
(Jakarta) Is Jakarta a city,yes (related to: Jakarta)
(Jakarta) Is Jakarta a city,Yes (related to: Jakarta)
(Jakarta) Is the most important river the Ciliwung River,yes (related to: Jakarta)
(Jakarta) Is the most important river the Ciliwung River,Yes (related to: Jakarta)
(Jakarta) Where is Jakarta located,northwest coast of Java (related to: Jakarta)
(Jakarta) Where is Jakarta located,On the northwest coast of Java (related to: Jakarta)
(Jakarta) Who created Monas Park,General Herman Willem Deandels (related to: Jakarta)
(Jakarta) Who created Monas Park,Dutch Governor General Herman Willem Deandels (related to: Jakarta)
(Jakarta) Do mikrolets travel on the main roads?,no (related to: Jakarta)
(Jakarta) Do mikrolets travel on the main roads?,No (related to: Jakarta)
(Jakarta) What contributes to frequent flooding in Jakarta,"Jakarta lies on a plain eight meters, approximately eight meters above the sea level. (related to: Jakarta)"
(Jakarta) What contributes to frequent flooding in Jakarta,"It lies on a plain, approximately eight meters above the sea level (related to: Jakarta)"
(Jakarta) Did the economy improve in Jakarta in 2007,yes (related to: Jakarta)
(Jakarta) Did the economy improve in Jakarta in 2007,Yes (related to: Jakarta)
"(Jakarta) In AD 39, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?",Java (related to: Jakarta)
"(Jakarta) In 1602, the British East India Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?",James Lancaster (related to: Jakarta)
(Jakarta) Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty. (related to: Jakarta)
(Jakarta) Did Jayawikarta's soldiers attack the Dutch fortress?,yes (related to: Jakarta)
(Jakarta) Did Suharto resign as president?,Yes (related to: Jakarta)
(Jakarta) Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?,Yes (related to: Jakarta)
(Jakarta) Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?,Yes (related to: Jakarta)
(Jakarta) Give an example of the many Sukarno era monuments in the city. ,The West Irian Liberation Statue is one of the many Sukarno era monuments in the city.  (related to: Jakarta)
"(Jakarta) Is Jakarta the country's economic, cultural and political center?",Yes. (related to: Jakarta)
(James_Watt) Is James Watt French?,"No, he was Scottish. (related to: James_Watt)"
(James_Watt) Is James Watt French?,No (related to: James_Watt)
(James_Watt) Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution. (related to: James_Watt)"
(James_Watt) Did James Watt improve an engine?,Yes (related to: James_Watt)
(James_Watt) Is there a statue of Watt in the White House?,"No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral. (related to: James_Watt)"
(James_Watt) Is there a statue of Watt in the White House?,No (related to: James_Watt)
(James_Watt) What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie. (related to: James_Watt)"
(James_Watt) What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie. (related to: James_Watt)"
(James_Watt) When did Watt retire?,In 1800. (related to: James_Watt)
(James_Watt) When did Watt retire?,Watt retired in 1800. (related to: James_Watt)
(James_Watt) Where is the James Watt Memorial College?,In Greenock. (related to: James_Watt)
(James_Watt) Where is the James Watt Memorial College?,The James Watt Memorial  is in Greenock. (related to: James_Watt)
(James_Watt) Why is the watt named after Watt?,The watt is named after him for his contributions to the development of the steam engine. (related to: James_Watt)
(James_Watt) Why is the watt named after Watt?,The watt is named after James Watt for his contributions to the development of the steam engine. (related to: James_Watt)
(James_Watt) Where did Watt attend university?,Watt did not attend school regularly. (related to: James_Watt)
(James_Watt) Where did Watt attend university?,He did not attend a university. (related to: James_Watt)
(James_Watt) What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures. (related to: James_Watt)"
(James_Watt) What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures. (related to: James_Watt)"
(James_Watt) Was James Watt a member of the Lunar Society?,NULL (related to: James_Watt)
(James_Watt) Was James Watt a member of the Lunar Society?,NULL (related to: James_Watt)
(James_Watt) Did James Watt marry his cousin?,NULL (related to: James_Watt)
(James_Watt) Did James Watt marry his cousin?,NULL (related to: James_Watt)
(James_Watt) Was Watt married to Agnes Muirhead?,NULL (related to: James_Watt)
(James_Watt) Was Watt married to Agnes Muirhead?,NULL (related to: James_Watt)
(James_Watt) How old was James Watt when his mother died?,NULL (related to: James_Watt)
(James_Watt) How old was James Watt when his mother died?,NULL (related to: James_Watt)
(James_Watt) In what year did Watt retire?,NULL (related to: James_Watt)
(James_Watt) In what year did Watt retire?,NULL (related to: James_Watt)
(James_Watt) Where was Watt buried?,NULL (related to: James_Watt)
(James_Watt) Where was Watt buried?,NULL (related to: James_Watt)
(James_Watt) When did Watt S10_set up his workshop at the University of Glasgow?,NULL (related to: James_Watt)
(James_Watt) When did Watt S10_set up his workshop at the University of Glasgow?,NULL (related to: James_Watt)
(James_Watt) Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,NULL (related to: James_Watt)
(James_Watt) Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,NULL (related to: James_Watt)
(James_Watt) How old was Watt when he died?,NULL (related to: James_Watt)
(James_Watt) How old was Watt when he died?,NULL (related to: James_Watt)
(Koala) What happened in the early 20th century?,The koalas of South Australia were largely exterminated. (related to: Koala)
(Koala) Do Koalas have a slow metabolism?,yes (related to: Koala)
(Koala) Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests. (related to: Koala)"
(Koala) Does the koala fill the same ecological role as the sloth of South America?,The koala fills the same ecological role as the sloth of South America. (related to: Koala)
(Koala) Is the long term viability of the koala therefore threatened by genetic weakness?,The long term viability of the koala is therefore threatened by genetic weakness. (related to: Koala)
"(Koala) Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape York Peninsula?",yes (related to: Koala)
(Koala) Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands. (related to: Koala)
"(Koala) Were the koalas of South Australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?","The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock. (related to: Koala)"
(Korean_language) Is Korean the official language of Korea?,Yes (related to: Korean_language)
(Korean_language) Is Korean the official language of Korea?,Yes (related to: Korean_language)
"(Korean_language) Is the word ""Korean"" derived from Goryeo?",Yes (related to: Korean_language)
"(Korean_language) Is the word ""Korean"" derived from Goryeo?",yes (related to: Korean_language)
(Korean_language) Are all dialects of Korean similar to each other?,Yes (related to: Korean_language)
(Korean_language) Are all dialects of Korean similar to each other?,Yes (related to: Korean_language)
(Korean_language) About how many Koreans speakers are there?,78 million (related to: Korean_language)
(Korean_language) About how many Koreans speakers are there?,78 million Korean speakers (related to: Korean_language)
"(Korean_language) Older English sources used the name ""Korean"" to refer to what?","language, country, and people (related to: Korean_language)"
"(Korean_language) Older English sources used the name ""Korean"" to refer to what?","language, country, and people (related to: Korean_language)"
(Korean_language) What is the official language of North Korea?,Korean (related to: Korean_language)
(Korean_language) What is the official language of North Korea?,Korean (related to: Korean_language)
(Korean_language) Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category (related to: Korean_language)
(Korean_language) Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category (related to: Korean_language)
(Korean_language) Where do the majority of loanwords other than Sino-Korean come from?,modern times (related to: Korean_language)
(Korean_language) Where do the majority of loanwords other than Sino-Korean come from?,"modern times, 90% of which are from English (related to: Korean_language)"
(Korean_language) How many Korean speakers are there?,There are about 78 million Korean speakers. (related to: Korean_language)
(Korean_language) How many Korean speakers are there?,NULL (related to: Korean_language)
(Korean_language) How many parts of speech does the Korean language contain?,The Korean Language contains nine parts of speech.  (related to: Korean_language)
(Korean_language) How many parts of speech does the Korean language contain?,NULL (related to: Korean_language)
(Korean_language) How many verb paradigms are there in Korean?,There are seven verb paradigms or speech levels in Korean. (related to: Korean_language)
(Korean_language) How many verb paradigms are there in Korean?,NULL (related to: Korean_language)
(Korean_language) What is the Sino-Korean system of numbers based on?,The Sino-Korean system is nearly entirely based on the Chinese numerals. (related to: Korean_language)
(Korean_language) What is the Sino-Korean system of numbers based on?,NULL (related to: Korean_language)
(Korean_language) What is another term for Korean adjectives?,"Adjectives are also known as ""descriptive verbs"" or ""stative verbs"". (related to: Korean_language)"
(Korean_language) What is another term for Korean adjectives?,NULL (related to: Korean_language)
(Korean_language) Is modern Korean written in columns or rows?,It is written in rows. (related to: Korean_language)
(Korean_language) Is modern Korean written in columns or rows?,NULL (related to: Korean_language)
(Korean_language) What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,Sino-Korean makes up 30% of the Korean language. (related to: Korean_language)
(Korean_language) What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,NULL (related to: Korean_language)
(Korean_language) Do Chinese and Japanese have spaces between words?,"No, Chinese and Japanese do not have spaces between words. (related to: Korean_language)"
(Korean_language) Do Chinese and Japanese have spaces between words?,NULL (related to: Korean_language)
(Korean_language) From which languages is Korean descended?,"Korean is descended from Old Korean, Middle Korean and Modern Korean. (related to: Korean_language)"
(Korean_language) From which languages is Korean descended?,NULL (related to: Korean_language)
(Korean_language) Are there seven verb paradigms or speech levels in Korean?,Yes. (related to: Korean_language)
(Korean_language) Is Modern Korean written with spaces between words?,Yes. (related to: Korean_language)
(Korean_language) Are the Korean names for the language based on the names for Korea used in North as well as South Korea?,Yes. (related to: Korean_language)
(Korean_language) Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?,Yes. (related to: Korean_language)
(Korean_language) Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?,The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists. (related to: Korean_language)
(Korean_language) Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?,Yes (related to: Korean_language)
(Kuala_Lumpur) Is Kuala Lumpur the capitol of Malaysia? disfluent,Yes (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is Kuala Lumpur the capitol of Malaysia? disfluent,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is Kuala Lumpur in the Selangor state?,Yes (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is Kuala Lumpur in the Selangor state?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) What's the population of Kuala lumpur?,1.6 million (related to: Kuala_Lumpur)
(Kuala_Lumpur) What's the population of Kuala lumpur?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) What language do they speak in Kuala Lumpur?,Bahasa Melayu (related to: Kuala_Lumpur)
(Kuala_Lumpur) What language do they speak in Kuala Lumpur?,NULL (related to: Kuala_Lumpur)
"(Kuala_Lumpur) What does the name ""Kuala Lumpur"" mean?","""muddy confluence,"" ""muddy estuary,"" and ""muddy city"" (related to: Kuala_Lumpur)"
"(Kuala_Lumpur) What does the name ""Kuala Lumpur"" mean?",NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport (related to: Kuala_Lumpur)
(Kuala_Lumpur) What airports does Kuala Lumpur have?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) How long was Kuala Lumpur occupied by the Japanese?,42 months (related to: Kuala_Lumpur)
(Kuala_Lumpur) How long was Kuala Lumpur occupied by the Japanese?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) How many seasons does Kuala Lumpur experience?,1 (related to: Kuala_Lumpur)
(Kuala_Lumpur) How many seasons does Kuala Lumpur experience?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) When were the colonial buildings in Kuala Lumpur constructed?,toward the end of the 19th and early 20th centuries (related to: Kuala_Lumpur)
(Kuala_Lumpur) When were the colonial buildings in Kuala Lumpur constructed?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is it a host city for the Formula One World Championship?,Yes (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is it a host city for the Formula One World Championship?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) is the central market located in the proximity of the pertama complex?,No (related to: Kuala_Lumpur)
(Kuala_Lumpur) is the central market located in the proximity of the pertama complex?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) is it home to the parliament of malaysia?,Yes (related to: Kuala_Lumpur)
(Kuala_Lumpur) is it home to the parliament of malaysia?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) when did kuala lumpur become a federal territory of malaysia?,"February 1, 1974 (related to: Kuala_Lumpur)"
(Kuala_Lumpur) when did kuala lumpur become a federal territory of malaysia?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) What is the city's population?,1.6 million (related to: Kuala_Lumpur)
(Kuala_Lumpur) What is the city's population?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) What is the official religion in the country?,Islam (related to: Kuala_Lumpur)
(Kuala_Lumpur) What is the official religion in the country?,NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is there a more industrialized region in malaysia?,No (related to: Kuala_Lumpur)
(Kuala_Lumpur) Is there a more industrialized region in malaysia?,NULL (related to: Kuala_Lumpur)
"(Kuala_Lumpur) after the 2008 elections, what party had the most parliament seats?",DAP (related to: Kuala_Lumpur)
"(Kuala_Lumpur) after the 2008 elections, what party had the most parliament seats?",NULL (related to: Kuala_Lumpur)
(Kuala_Lumpur) what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5* (related to: Kuala_Lumpur)
(Kuala_Lumpur) what is the name of the event that draws the worlds top riders to malaysia?,NULL (related to: Kuala_Lumpur)
(Leonardo_da_Vinci) Wasn't Leonardo da Vinci valued as an engineer?,no (related to: Leonardo_da_Vinci)
(Leonardo_da_Vinci) Wasn't Leonardo da Vinci born on April 15?,"Yes, Leonardo da Vinci was born on April 15. (related to: Leonardo_da_Vinci)"
(Leonardo_da_Vinci) Who left Verroccio's studio?,Leonardo da Vinci left Verroccio's studio. (related to: Leonardo_da_Vinci)
"(Leonardo_da_Vinci) When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write?",1528 (related to: Leonardo_da_Vinci)
(Leonardo_da_Vinci) When did he flee to Venice?,In 1499. (related to: Leonardo_da_Vinci)
(Leonardo_da_Vinci) Was Leonardo a contemporary of Botticelli Domenico Ghirlandaio as well as Perugino?,"Leonardo was a contemporary of Botticelli, Domenico Ghirlandaio and Perugino. (related to: Leonardo_da_Vinci)"
(Leonardo_da_Vinci) Is the larger work now almost universally attributed to Leonardo?,"Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo. (related to: Leonardo_da_Vinci)"
"(Leonardo_da_Vinci) Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",Yes (related to: Leonardo_da_Vinci)
(Leonardo_da_Vinci) Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes. (related to: Leonardo_da_Vinci)
"(Leonardo_da_Vinci) According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?",Yes (related to: Leonardo_da_Vinci)
(Lobster) Are lobsters invertebrates?,Yes (related to: Lobster)
(Lobster) Are lobsters invertebrates?,Yes (related to: Lobster)
(Lobster) Are lobsters kosher?,No (related to: Lobster)
(Lobster) Are lobsters kosher?,No (related to: Lobster)
(Lobster) Do lobsters have blue blood?,yes (related to: Lobster)
(Lobster) Do lobsters have blue blood?,Yes (related to: Lobster)
(Lobster) How many legs do lobsters have?,10. (related to: Lobster)
(Lobster) How many legs do lobsters have?,10 (related to: Lobster)
(Lobster) Where are lobsters found?,In all oceans. (related to: Lobster)
(Lobster) Where are lobsters found?,In all oceans (related to: Lobster)
(Lobster) What is the mean level of mercury in American lobsters?,0.31 ppm (related to: Lobster)
(Lobster) What is the mean level of mercury in American lobsters?,0.31 ppm (related to: Lobster)
(Lobster) Do lobsters feel pain?,yes. (related to: Lobster)
(Lobster) Do lobsters feel pain?,Yes (related to: Lobster)
(Lobster) Did the Moche people worship lobsters?,yes. (related to: Lobster)
(Lobster) Did the Moche people worship lobsters?,Yes (related to: Lobster)
(Lobster) What is the caridoid escape reaction?,Swimming backwards quickly by curling and uncurling their abdomen. (related to: Lobster)
(Lobster) What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen (related to: Lobster)
(Lyre) Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes (related to: Lyre)
(Lyre) Were the recitations of the Ancient Greeks accompanied by lyre playing?,NULL (related to: Lyre)
(Lyre) Does a classical lyre have a hollow body?,Yes (related to: Lyre)
(Lyre) Does a classical lyre have a hollow body?,NULL (related to: Lyre)
(Lyre) Is the lyre a stringed musical instrument?,Yes (related to: Lyre)
(Lyre) Is the lyre a stringed musical instrument?,NULL (related to: Lyre)
(Lyre) Which constellation is said to resemble a lyre shape?,Lyra (related to: Lyre)
(Lyre) Which constellation is said to resemble a lyre shape?,NULL (related to: Lyre)
(Lyre) How many raised arms are extending from the sound-chest of a classical lyre?,Two (related to: Lyre)
(Lyre) How many raised arms are extending from the sound-chest of a classical lyre?,NULL (related to: Lyre)
(Lyre) What were the strings of a classical lyre made of?,Gut (related to: Lyre)
(Lyre) What were the strings of a classical lyre made of?,NULL (related to: Lyre)
(Lyre) Is the foot pedal framework for a piano called a lyre?,Yes (related to: Lyre)
(Lyre) Is the foot pedal framework for a piano called a lyre?,NULL (related to: Lyre)
(Lyre) Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body. (related to: Lyre)
(Lyre) Where was the deepest note of the classical lyre in relation to the player's body?,NULL (related to: Lyre)
(Lyre) Does a standard piano have fewer strings than a harp?,No (related to: Lyre)
(Lyre) Does a standard piano have fewer strings than a harp?,NULL (related to: Lyre)
(Malay_language) Is Malay the official language of Iraq?,No (related to: Malay_language)
(Malay_language) Could Malay have originated from Sumatra island?,Yes. (related to: Malay_language)
(Malay_language) Is Malay an agglutinative language?,Yes (related to: Malay_language)
(Malay_language) Is Malay an agglutinative language?,Yes. (related to: Malay_language)
(Malay_language) What family is Malay a member of?,Austronesian family (related to: Malay_language)
(Malay_language) What family is Malay a member of?,Austronesian. (related to: Malay_language)
(Malay_language) What is the basic word order in Malay?,Subject Verb Object (related to: Malay_language)
(Malay_language) What is the basic word order in Malay?,Subject Object Verb. (related to: Malay_language)
(Malay_language) What languages has Malay borrowed words from?,"Sanskrit, Arabic and English (related to: Malay_language)"
(Malay_language) What languages has Malay borrowed words from?,"Arabic, Sanskrit, Tamil, Persian, Portuguese, Dutch, certain Chinese dialects, and English. (related to: Malay_language)"
(Malay_language) Are there many words in Malay that use natural gender?,No (related to: Malay_language)
(Malay_language) How are new words formed in Malay?,three methods. (related to: Malay_language)
(Malay_language) How are new words formed in Malay?,"Affixation, composition, and reduplication. (related to: Malay_language)"
(Malay_language) Is Malay in the Austronesian family of languages?,Yes (related to: Malay_language)
(Malay_language) Is Malay in the Austronesian family of languages?,NULL (related to: Malay_language)
(Malay_language) Is Malay an agglutinative language?,Yes (related to: Malay_language)
(Malay_language) Is Malay an agglutinative language?,NULL (related to: Malay_language)
(Malay_language) Is there one negation word in Malay?,No (related to: Malay_language)
(Malay_language) Is there one negation word in Malay?,NULL (related to: Malay_language)
(Malay_language) How many parts of speech are there in Malay?,Four (related to: Malay_language)
(Malay_language) How many parts of speech are there in Malay?,NULL (related to: Malay_language)
(Malay_language) What is the basic word order in Malay?,Subject Verb Object (related to: Malay_language)
(Malay_language) What is the basic word order in Malay?,NULL (related to: Malay_language)
(Malay_language) What is the national language in Malaysia?,Malay  (related to: Malay_language)
(Malay_language) What is the national language in Malaysia?,NULL (related to: Malay_language)
(Malay_language) Do linguists consider Malay to be a single language?,No (related to: Malay_language)
